county,Date,time_to_outbreak,event,hazard_score,risk_percentile
new_york,2024-12-01,12.0,0,670886.800219598,100.0
miami,2024-12-01,12.0,0,466642.8788503988,99.98934356351235
los_angeles,2024-12-01,12.0,0,309699.15976614493,99.97868712702473
miami,2025-01-01,2.102496714848883,1,271613.9467695147,99.96270247229326
miami,2025-01-01,12.0,0,271613.9467695147,99.96270247229326
new_york,2025-01-01,12.0,0,269714.1006639387,99.9467178175618
san_francisco,2024-12-01,12.0,0,201535.71200795157,99.93606138107417
newark,2024-12-01,12.0,0,198727.333151375,99.92540494458653
new_york,2024-01-01,12.0,0,196006.44994459336,99.9147485080989
miami,2024-01-01,12.0,0,195163.9116699985,99.90409207161125
houston,2024-12-01,12.0,0,188888.73997840146,99.89343563512362
orlando,2024-12-01,12.0,0,187737.2706222596,99.88277919863597
los_angeles,2025-01-01,12.0,0,178393.33025026732,99.87212276214834
chicago,2024-12-01,12.0,0,176579.04513852438,99.8614663256607
atlanta,2024-12-01,12.0,0,170976.7542125882,99.85080988917306
dallas,2024-12-01,12.0,0,170067.04172243236,99.84015345268543
fort_lauderdale,2024-12-01,12.0,0,170028.77662207346,99.82949701619779
washington,2024-12-01,12.0,0,155230.73344290015,99.81884057971014
boston,2024-12-01,12.0,0,140279.78946383292,99.8081841432225
las_vegas,2024-12-01,12.0,0,138700.26594970145,99.79752770673487
honolulu,2024-12-01,12.0,0,136433.02084891408,99.78687127024722
seattle,2024-12-01,12.0,0,132531.749598542,99.7762148337596
los_angeles,2024-01-01,12.0,0,130371.80194542401,99.76555839727195
denver,2024-12-01,12.0,0,120854.6463708063,99.75490196078431
agana,2024-12-01,12.0,0,119242.39145217085,99.74424552429667
san_francisco,2025-01-01,12.0,0,118305.9169019797,99.73358908780904
phoenix,2024-12-01,12.0,0,118078.10653966333,99.7229326513214
detroit,2024-12-01,12.0,0,115883.01736716386,99.71227621483376
tampa,2024-12-01,12.0,0,115730.91757359472,99.70161977834611
charlotte,2024-12-01,12.0,0,113592.49591776954,99.69096334185849
minneapolis,2024-12-01,12.0,0,113167.73607730729,99.68030690537084
philadelphia,2024-12-01,12.0,0,112726.48018071834,99.6696504688832
