quantile,predicted,observed_km,observed_rate,n
0,0.00504882,0.0,0.0,49
1,0.014618363,0.0,0.0,48
2,0.025560321,0.0,0.0625,48
3,0.03845621,0.04081632653061229,0.04081632653061224,49
4,0.05252808,0.0,0.0,48
5,0.068012394,0.0,0.0,48
6,0.09639113,0.0,0.061224489795918366,49
7,0.13545422,0.06250000000000033,0.10416666666666667,48
8,0.21016924,0.020833333333333703,0.041666666666666664,48
9,0.47277895,0.16326530612244872,0.24489795918367346,49
