quantile,predicted,observed_km,observed_rate,n
0,0.11480933,0.0,0.0,49
1,0.19003896,0.0,0.020833333333333332,48
2,0.24472153,0.0,0.0,48
3,0.2897496,0.0,0.0,49
4,0.33704606,0.0,0.020833333333333332,48
5,0.38515797,0.020833333333333703,0.041666666666666664,48
6,0.44402182,0.06122448979591821,0.08163265306122448,49
7,0.5053181,0.020833333333333703,0.08333333333333333,48
8,0.5938661,0.04166666666666685,0.08333333333333333,48
9,0.75996095,0.14285714285714268,0.22448979591836735,49
