Category: All categories

Month,Measles: (United States),MMR vaccine: (United States),Measles virus: (United States),Koplik's spots: (United States)
2021-10,13,6,<1,<1
2021-11,8,6,<1,<1
2021-12,6,5,<1,<1
2022-01,6,7,<1,<1
2022-02,5,7,<1,<1
2022-03,5,7,<1,<1
2022-04,5,6,<1,<1
2022-05,5,6,<1,<1
2022-06,4,7,<1,<1
2022-07,4,7,<1,<1
2022-08,5,8,<1,<1
2022-09,5,6,<1,<1
2022-10,5,6,<1,<1
2022-11,6,6,<1,<1
2022-12,6,5,<1,<1
2023-01,5,6,<1,<1
2023-02,6,6,<1,<1
2023-03,6,5,<1,<1
2023-04,5,5,<1,<1
2023-05,5,5,<1,<1
2023-06,5,6,<1,<1
2023-07,4,6,<1,<1
2023-08,4,6,<1,<1
2023-09,5,5,<1,<1
2023-10,5,5,<1,<1
2023-11,5,5,<1,<1
2023-12,5,4,0,<1
2024-01,10,6,<1,<1
2024-02,18,6,<1,<1
2024-03,21,7,<1,<1
2024-04,11,6,<1,<1
2024-05,7,6,<1,<1
2024-06,5,5,0,<1
2024-07,6,6,0,<1
2024-08,6,7,0,<1
2024-09,6,6,0,<1
2024-10,5,6,0,<1
2024-11,7,6,<1,<1
2024-12,6,5,0,<1
2025-01,7,7,<1,<1
2025-02,74,17,<1,<1
2025-03,100,25,<1,1
2025-04,62,16,<1,1
2025-05,33,10,<1,<1
2025-06,26,10,<1,<1
2025-07,20,9,<1,<1
2025-08,13,8,<1,<1
2025-09,16,12,<1,<1
2025-10,17,9,<1,<1
