Category: All categories

DMA,Measles: (1/1/04 - 10/15/25),MMR vaccine: (1/1/04 - 10/15/25),Measles virus: (1/1/04 - 10/15/25),Koplik's spots: (1/1/04 - 10/15/25)
Sacramento-Stockton-Modesto CA,60%,39%,1%,<1%
Tucson (Sierra Vista) AZ,60%,39%,1%,<1%
Missoula MT,61%,37%,1%,1%
New York NY,60%,39%,1%,<1%
Burlington VT-Plattsburgh NY,64%,34%,1%,1%
Monterey-Salinas CA,63%,36%,1%,<1%
Knoxville TN,65%,34%,<1%,1%
Laredo TX,68%,30%,1%,1%
San Francisco-Oakland-San Jose CA,61%,38%,1%,<1%
Medford-Klamath Falls OR,64%,35%,1%,<1%
Colorado Springs-Pueblo CO,61%,38%,1%,<1%
Bakersfield CA,66%,32%,1%,1%
Charleston-Huntington WV,62%,36%,1%,1%
"Billings, MT",61%,38%,,1%
Traverse City-Cadillac MI,63%,35%,1%,1%
Presque Isle ME,62%,38%,,
Alpena MI,68%,32%,,
Grand Rapids-Kalamazoo-Battle Creek MI,64%,34%,1%,1%
La Crosse-Eau Claire WI,65%,33%,1%,1%
Champaign & Springfield-Decatur IL,59%,40%,1%,<1%
Houston TX,62%,37%,<1%,1%
Boise ID,64%,34%,1%,1%
Minneapolis-St. Paul MN,63%,36%,1%,<1%
Dallas-Ft. Worth TX,64%,35%,<1%,1%
Yuma AZ-El Centro CA,63%,36%,<1%,1%
Portland-Auburn ME,61%,37%,1%,1%
Santa Barbara-Santa Maria-San Luis Obispo CA,62%,37%,1%,<1%
Jonesboro AR,60%,38%,1%,1%
Rapid City SD,65%,34%,1%,
Casper-Riverton WY,63%,36%,1%,
Elmira NY,60%,39%,<1%,1%
Corpus Christi TX,60%,38%,1%,1%
Philadelphia PA,58%,40%,1%,1%
Pittsburgh PA,61%,37%,1%,1%
Little Rock-Pine Bluff AR,62%,36%,1%,1%
Denver CO,62%,37%,1%,<1%
South Bend-Elkhart IN,66%,32%,1%,1%
Lexington KY,61%,37%,1%,1%
Ft. Smith-Fayetteville-Springdale-Rogers AR,58%,41%,<1%,1%
Ottumwa IA-Kirksville MO,60%,36%,,4%
Springfield MO,64%,35%,1%,<1%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,66%,32%,1%,1%
Columbus OH,61%,38%,<1%,1%
Kansas City MO,62%,37%,<1%,1%
Baltimore MD,58%,40%,1%,1%
Alexandria LA,64%,35%,1%,
Omaha NE,62%,36%,1%,1%
Cheyenne WY-Scottsbluff NE,61%,38%,,1%
Mankato MN,60%,38%,1%,1%
Peoria-Bloomington IL,63%,35%,1%,1%
Washington DC (Hagerstown MD),62%,37%,1%,<1%
Bluefield-Beckley-Oak Hill WV,61%,36%,1%,2%
Des Moines-Ames IA,63%,35%,1%,1%
Erie PA,61%,36%,1%,2%
Clarksburg-Weston WV,63%,36%,,1%
Madison WI,60%,39%,1%,<1%
Terre Haute IN,65%,34%,1%,<1%
Indianapolis IN,62%,37%,1%,<1%
Albany-Schenectady-Troy NY,58%,40%,1%,1%
Bowling Green KY,63%,35%,1%,1%
Syracuse NY,58%,41%,1%,<1%
Lincoln & Hastings-Kearney NE,65%,33%,1%,1%
Wichita Falls TX & Lawton OK,61%,38%,<1%,1%
Idaho Falls-Pocatello ID,61%,37%,1%,1%
Dayton OH,62%,37%,<1%,1%
Hartford & New Haven CT,60%,38%,1%,1%
Abilene-Sweetwater TX,64%,35%,<1%,1%
Wheeling WV-Steubenville OH,62%,36%,1%,1%
Springfield-Holyoke MA,60%,38%,1%,1%
Utica NY,56%,43%,1%,<1%
Lake Charles LA,54%,45%,,1%
Topeka KS,60%,38%,1%,1%
Ft. Myers-Naples FL,63%,35%,1%,1%
Harrisonburg VA,60%,39%,<1%,1%
Joplin MO-Pittsburg KS,63%,36%,,1%
Columbia-Jefferson City MO,60%,38%,1%,1%
Bangor ME,58%,39%,2%,1%
Watertown NY,57%,42%,,1%
Palm Springs CA,63%,36%,1%,<1%
Huntsville-Decatur (Florence) AL,62%,37%,<1%,1%
Parkersburg WV,59%,39%,,2%
Flint-Saginaw-Bay City MI,49%,50%,<1%,1%
Lafayette IN,51%,48%,1%,<1%
Quincy IL-Hannibal MO-Keokuk IA,63%,34%,2%,1%
Chicago IL,60%,38%,1%,1%
Evansville IN,64%,35%,1%,<1%
Jackson TN,63%,34%,1%,2%
Providence RI-New Bedford MA,59%,39%,1%,1%
Gainesville FL,56%,41%,1%,2%
