variable,coef,pvalue,abs_coef
DP04_0091PE,-2014.9668056217624,0.9999903505082203,2014.9668056217624
DP04_0092PE,-2014.951180786473,0.9999903502123575,2014.951180786473
DP04_0002PE,-2003.818376985423,0.9999936802096343,2003.818376985423
DP04_0003PE,-2003.5271003978698,0.9999936810915875,2003.5271003978698
DP05_0093PE,-1410.685130777432,0.9999834191813982,1410.685130777432
DP05_0094PE,-1403.7901805066228,0.9999835010057038,1403.7901805066228
DP02_0114PE,835.9593820254931,0.9999873055185702,835.9593820254931
DP05_0076PE,828.7444592937237,0.9999874104153424,828.7444592937237
DP02_0081PE,826.3168465717772,0.9999874784825239,826.3168465717772
DP05_0002PE,824.2585321396938,0.9999874901495965,824.2585321396938
DP05_0035PE,817.5681039436894,0.9999875905745118,817.5681039436894
DP05_0061PE,817.5681039237043,0.999987590574512,817.5681039237043
DP05_0021PE,817.3884680334749,0.9999875878251193,817.3884680334749
DP05_0019PE,813.1898674096282,0.9999876498028466,813.1898674096282
DP05_0034PE,813.0102314538735,0.9999876483736642,813.0102314538735
DP05_0036PE,813.0102314343142,0.9999876483736643,813.0102314343142
DP05_0003PE,806.3198032065515,0.9999877498780936,806.3198032065515
DP02_0080PE,804.2614890844618,0.9999877691685766,804.2614890844618
DP05_0081PE,801.8338762210133,0.9999878336641969,801.8338762210133
DP02_0113PE,794.6189536525859,0.9999879371191457,794.6189536525859
DP02_0097PM,769.2371645132152,0.9999939556878525,769.2371645132152
DP02_0096PM,-768.7109989116939,0.9999939594957958,768.7109989116939
DP05_0030PE,-765.90192643245,0.9999853341847692,765.90192643245
DP05_0031PE,-764.949994669099,0.9999853507587306,764.949994669099
DP05_0027PE,483.92397810883267,0.9999943733982398,483.92397810883267
DP05_0026PE,467.1982973363648,0.9999945727900253,467.1982973363648
DP03_0108PE,397.07857899848045,0.9999933595397877,397.07857899848045
DP03_0105PE,396.20671639657735,0.9999933740993111,396.20671639657735
DP02_0016M,372.8791730216106,0.9999876266653942,372.8791730216106
DP05_0043PE,265.42363224619197,0.9999852153259715,265.42363224619197
DP04_0048M,-255.19559878258622,0.9999827093430415,255.19559878258622
DP03_0002PE,-247.01668636257364,0.999996312929021,247.01668636257364
DP04_0046PE,203.60136971953025,0.9999973177819453,203.60136971953025
DP04_0047PE,203.4795393511045,0.9999973196730376,203.4795393511045
DP03_0007PE,-183.63166264452104,0.9999972615994157,183.63166264452104
DP02_0096PE,-152.2628132940138,0.9999949521432359,152.2628132940138
DP02_0097PE,-152.1118961363329,0.9999949572157939,152.1118961363329
DP05_0045PM,150.77597252356378,0.9999935225127045,150.77597252356378
DP03_0096PE,-147.3674726664808,0.9999981499451814,147.3674726664808
DP03_0099PE,-139.93015814186919,0.9999982434822706,139.93015814186919
DP05_0055PM,117.96674799581567,0.9999844904655575,117.96674799581567
DP02_0103PM,-116.49533948532917,0.9999984920482309,116.49533948532917
DP03_0113PM,116.0901579987584,0.9999869301503487,116.0901579987584
DP03_0110PM,-115.9750740826195,0.999986949671968,115.9750740826195
DP02_0104PM,115.94030806071942,0.9999984991391594,115.94030806071942
DP02_0016E,-99.3028431615455,0.9999932441069944,99.3028431615455
DP03_0012PM,95.152889727686,0.9999843547637063,95.152889727686
DP05_0043PM,94.40458913159684,0.9999960381141332,94.40458913159684
DP02_0104PE,-86.4079081160204,0.9999966781160732,86.4079081160204
DP02_0103PE,-86.19751857959645,0.999996685748129,86.19751857959645
DP05_0059PM,-86.06072248654597,0.999979879219363,86.06072248654597
DP03_0011PM,-85.95494744042857,0.9999857493694294,85.95494744042857
DP03_0118PE,-84.69975308167659,0.9999986622816118,84.69975308167659
DP04_0037M,82.86040155616371,0.9999758924378509,82.86040155616371
DP03_0115PE,-82.43756706674924,0.9999986978151364,82.43756706674924
DP02_0017E,80.84633806311174,0.9999894183465226,80.84633806311174
DP05_0055PE,-78.97905428198324,0.9999903267195882,78.97905428198324
DP05_0057PM,-76.8184426072445,0.9999815022305373,76.8184426072445
DP05_0038PM,-70.07758759136567,0.9999734322776928,70.07758759136567
DP04_0060PE,-69.71741031466695,0.9999784783218442,69.71741031466695
DP03_0003PE,69.32357568048482,0.999985761129728,69.32357568048482
DP04_0061PE,-69.06573608800308,0.999978671297236,69.06573608800308
DP05_0045PE,-69.03938632221141,0.9999957486019434,69.03938632221141
DP05_0083PM,67.9480427162633,0.999973520493628,67.9480427162633
DP04_0058PE,-67.8824362893679,0.999979118621584,67.8824362893679
DP04_0059PE,-67.25306263335035,0.9999792741040959,67.25306263335035
DP03_0110PE,64.15730153535652,0.9999974101813222,64.15730153535652
DP03_0113PE,64.03063664946538,0.999997415128515,64.03063664946538
DP02_0121PE,-63.775773415034855,0.999980195994406,63.775773415034855
DP03_0006PE,57.00253845074741,0.9999876262598361,57.00253845074741
DP05_0057PE,56.49074803815431,0.9999922258655534,56.49074803815431
DP05_0052PE,55.57326943585774,0.999983158197344,55.57326943585774
DP02_0054PE,-54.14063784042313,0.9999807369888916,54.14063784042313
DP05_0086PE,53.09828908990719,0.999991811520534,53.09828908990719
